UPDATE_TYPE,INITIAL_POSTING_DATE,PACKAGE_NDC,GENERIC_NAME,CONTACT_INFO,AVAILABILITY,RELATED_INFO,UPDATE_DATE,THERAPEUTIC_CATEGORY,DOSAGE_FORM,PRESENTATION,COMPANY_NAME,SHORTAGE_REASON,STATUS,OPENFDA_APPLICATION_NUMBER,OPENFDA_BRAND_NAME,OPENFDA_GENERIC_NAME,OPENFDA_MANUFACTURER_NAME,OPENFDA_PRODUCT_NDC,OPENFDA_PRODUCT_TYPE,OPENFDA_ROUTE,OPENFDA_SUBSTANCE_NAME,OPENFDA_RXCUI,OPENFDA_SPL_ID,OPENFDA_SPL_SET_ID,OPENFDA_PACKAGE_NDC,OPENFDA_UNII,OPENFDA_NUI,OPENFDA_PHARM_CLASS_EPC,OPENFDA_PHARM_CLASS_PE,DISCONTINUED_DATE,RELATED_INFO_LINK,OPENFDA_PHARM_CLASS_CS,CHANGE_DATE,OPENFDA_PHARM_CLASS_MOA,RESOLVED_NOTE
Reverified,01/26/2024,70726-0305-1,Riluzole Oral Suspension,610-937-6172,Available,,11/03/2025,['Neurology'],Oral Suspension,"Teglutik, Oral Suspension, 5 mg/1 mL (NDC 70726-0305-1)","EDW Pharma, Inc. (formerly Italfarmaco Pharma, Inc.)",,Current,,['TEGLUTIK'],['RILUZOLE'],['EDW PHARMA'],['70726-0305'],['HUMAN PRESCRIPTION DRUG'],['ORAL'],['RILUZOLE'],"['2058147', '2675565']",['125fdd67-c898-437b-e063-6394a90a3543'],['125fdd37-02f7-a610-e063-6294a90a009d'],['70726-0305-1'],['7LJ087RS6F'],"['N0000175740', 'M0483511']",['Benzothiazole [EPC]'],,,https://www.fda.gov/media/177206/download,['Benzothiazoles [CS]'],,,
Reverified,03/17/2023,0054-0389-25,Methamphetamine Hydrochloride Tablet,800-631-2174,Available,,10/24/2025,['Psychiatry'],Tablet,"Methamphetamine Hydrochloride, Tablet, 5 mg (NDC 0054-0389-25)","Hikma Pharmaceuticals USA, Inc.",,Current,['ANDA203846'],['METHAMPHETAMINE HYDROCHLORIDE'],['METHAMPHETAMINE HYDROCHLORIDE'],['Hikma Pharmaceuticals USA Inc.'],['0054-0389'],['HUMAN PRESCRIPTION DRUG'],['ORAL'],['METHAMPHETAMINE HYDROCHLORIDE'],['977860'],['9f3c9287-0615-4d2e-823d-673b33586e06'],['90c02ac6-e5e2-4c97-8c68-81e4e389a195'],['0054-0389-25'],['997F43Z9CV'],,,,,,,,,
Reverified,04/07/2020,25021-311-04,Furosemide Injection,866-625-1618,Available,,08/26/2025,['Cardiovascular'],Injection,"Furosemide, Injection, 10 mg/1 mL (NDC 25021-311-04)",Sagent Pharmaceuticals,,Current,['ANDA213902'],['FUROSEMIDE'],['FUROSEMIDE'],['Sagent Pharmaceuticals'],['25021-311'],['HUMAN PRESCRIPTION DRUG'],"['INTRAMUSCULAR', 'INTRAVENOUS']",['FUROSEMIDE'],"['1719286', '1719290', '1719291']",['222ce48f-2856-4be2-b16f-6fca38c0dceb'],['d63c1277-dd7e-4d21-9e80-68143f55e2dc'],"['25021-311-02', '25021-311-04', '25021-311-10']",['7LXU5N7ZO5'],"['N0000175366', 'N0000175590']",['Loop Diuretic [EPC]'],['Increased Diuresis at Loop of Henle [PE]'],,,,,,
Revised,02/20/2018,55150-170-30,Bupivacaine Hydrochloride Injection,888-238-7880,Available,Check wholesalers for inventory,10/17/2025,['Anesthesia'],Injection,"Bupivacaine Hydrochloride, Injection, 5 mg/1 mL (NDC 55150-170-30)",Eugia US LLC,,Current,['ANDA203895'],['BUPIVACAINE HYDROCHLORIDE'],['BUPIVACAINE HYDROCHLORIDE'],['Eugia US LLC'],"['55150-170', '55150-167', '55150-168', '55150-169', '55150-171', '55150-172', '55150-249', '55150-250']",['HUMAN PRESCRIPTION DRUG'],"['EPIDURAL', 'INTRACAUDAL']",['BUPIVACAINE HYDROCHLORIDE'],"['1012396', '1012404', '1724786', '1724787', '1724880', '1724884', '1725078', '1725082']",['39649703-e633-4a20-ba71-0c04dbf8ff2a'],['ffecf450-1f01-4721-8e10-251385852612'],"['55150-167-10', '55150-168-30', '55150-169-10', '55150-170-30', '55150-171-10', '55150-172-30', '55150-249-50', '55150-250-50']",['7TQO7W3VT8'],,,,,,,,,
Revised,02/15/2023,63323-426-10,Rocuronium Bromide Injection,888-386-1300,Available,Check wholesalers for inventory.,11/05/2025,['Anesthesia'],Injection,"Rocuronium Bromide, Injection, 10 mg/1 mL (NDC 63323-426-10)","Fresenius Kabi USA, LLC",Delay in shipping of the drug,Current,['ANDA078651'],['ROCURONIUM'],['ROCURONIUM BROMIDE'],"['Fresenius Kabi USA, LLC']",['63323-426'],['HUMAN PRESCRIPTION DRUG'],['INTRAVENOUS'],['ROCURONIUM BROMIDE'],['1234995'],"['d6e2ff8d-838d-4c27-8e73-230548b09d63', '3f4d5e11-2c14-4406-8954-04dba2fc65ff']","['f1933332-1ae0-4dc1-be4c-694849e6c9f9', 'fb9524b2-c353-4747-8954-7ca2529eabb2']","['63323-426-02', '63323-426-05', '63323-426-01', '63323-426-10', '63323-426-12', '63323-426-15']",['I65MW4OFHZ'],,,,,,,,,
Reverified,10/12/2022,0406-8893-01,"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",800-325-8888,Available,,11/05/2025,['Psychiatry'],Tablet,"Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 5 mg; 5 mg; 5 mg; 5 mg (NDC 0406-8893-01)",SpecGx LLC,,Current,['ANDA040440'],['DEXTROAMPHETAMINE SACCHARATE AND AMPHETAMINE ASPARTATE AND DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE'],['DEXTROAMPHETAMINE SACCHARATE AND AMPHETAMINE ASPARTATE AND DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE'],['SpecGx LLC'],"['0406-8893', '0406-8891', '0406-8884', '0406-8892', '0406-8885', '0406-8894']",['HUMAN PRESCRIPTION DRUG'],['ORAL'],"['AMPHETAMINE ASPARTATE MONOHYDRATE', 'AMPHETAMINE SULFATE', 'DEXTROAMPHETAMINE SACCHARATE', 'DEXTROAMPHETAMINE SULFATE']","['541363', '541878', '541892', '577957', '577961', '1009145']",['b25a2f3f-ee3a-44c0-a475-f371025c767b'],['72ddd1c9-ddbd-4c95-acd9-003189a353a3'],"['0406-8891-01', '0406-8884-01', '0406-8892-01', '0406-8885-01', '0406-8893-01', '0406-8894-01']","['G83415V073', '6DPV8NK46S', 'JJ768O327N', 'O1ZPV620O4']",,,,,,,,,
New,06/10/2025,0093-8036-01,Glyburide Tablet,800-545-8800,,Discontinuation of the manufacture of the drug,06/10/2025,['Endocrinology/Metabolism'],Tablet,"Glyburide (Micronized), Tablet, 6 mg (NDC 0093-8036-01)","Teva Pharmaceuticals USA, Inc.",,To Be Discontinued,['ANDA074686'],['GLYBURIDE'],['GLYBURIDE'],"['Teva Pharmaceuticals USA, Inc.']","['0093-8036', '0093-8034', '0093-8035']",['HUMAN PRESCRIPTION DRUG'],['ORAL'],['GLYBURIDE'],"['310536', '310539', '314000']",['00e55b1b-81b5-4df1-8a6d-4d54ac403e76'],['e84c0dfc-a4e9-4c89-b6ea-45732eb412f5'],"['0093-8034-01', '0093-8035-01', '0093-8035-05', '0093-8036-01']",['SX6K58TVWC'],"['N0000175608', 'M0020795']",['Sulfonylurea [EPC]'],,06/10/2025,,['Sulfonylurea Compounds [CS]'],,,
Reverified,03/21/2023,25021-115-06,Clindamycin Phosphate Injection,866-625-1618,Available,,08/26/2025,['Anti-Infective'],Injection,"Clindamycin Phosphate, Injection, 150 mg/1 mL (NDC 25021-115-06)",Sagent Pharmaceuticals,,Current,['ANDA090108'],['CLINDAMYCIN'],['CLINDAMYCIN PHOSPHATE'],['Sagent Pharmaceuticals'],['25021-115'],['HUMAN PRESCRIPTION DRUG'],"['INTRAMUSCULAR', 'INTRAVENOUS']",['CLINDAMYCIN PHOSPHATE'],"['1737244', '1737578', '1737581']",['4662502b-ce7c-4278-854d-cf8632ac9b83'],['7a6967b3-5563-4bed-9eee-d400f800e799'],"['25021-115-02', '25021-115-04', '25021-115-06']",['EH6D7113I8'],,,,,,,,,
Reverified,02/15/2023,55150-225-05,Rocuronium Bromide Injection,888-238-7880,Available,Check wholesalers for inventory,10/17/2025,['Anesthesia'],Injection,"Rocuronium Bromide, Injection, 50 mg/5 mL (NDC 55150-225-05)",Eugia US LLC,,Current,['ANDA206206'],['ROCURONIUM BROMIDE'],['ROCURONIUM BROMIDE'],['Eugia US LLC'],"['55150-225', '55150-226']",['HUMAN PRESCRIPTION DRUG'],['INTRAVENOUS'],['ROCURONIUM BROMIDE'],['1234995'],['256e0877-720b-40a2-be71-d503e8b860ab'],['116385ea-69fc-4f44-b463-6210291032df'],"['55150-225-05', '55150-226-10']",['I65MW4OFHZ'],,,,,,,,,
Reverified,07/26/2023,68025-098-10,"Methylphenidate Hydrochloride Tablet, Extended Release",800-541-4802,Unavailable,Estimated recovery: TBD,11/06/2025,['Psychiatry'],Tablet,"Relexxii, Tablet, Extended Release, 54 mg (NDC 68025-098-10)","Vertical Pharmaceuticals, LLC",Other,Current,['NDA216117'],['RELEXXII'],['METHYLPHENIDATE HYDROCHLORIDE'],"['Vertical Pharmaceuticals, LLC']","['68025-098', '68025-088', '68025-089', '68025-095', '68025-096', '68025-097', '68025-084']",['HUMAN PRESCRIPTION DRUG'],['ORAL'],['METHYLPHENIDATE HYDROCHLORIDE'],"['1091155', '1091170', '1091185', '1091210', '1995461', '2052826', '2605796', '2605798', '2605943', '2605946', '2668496', '2668499', '2668502', '2668505']",['86f477e9-07fc-466b-913e-1a4434c91df4'],['22d5fa47-b5b9-4fd9-980c-4eb88e95ae5d'],"['68025-088-30', '68025-089-30', '68025-095-10', '68025-095-30', '68025-096-10', '68025-096-30', '68025-097-10', '68025-097-30', '68025-084-30', '68025-098-10', '68025-098-30']",['4B3SC438HI'],,,,,,,,,
New,02/06/2025,0591-0844-10,"Glipizide Tablet, Extended Release",800-545-8800,,A business decision was made to discontinue manufacture of the drug.,02/06/2025,['Endocrinology/Metabolism'],Tablet,"Glipizide, Tablet, Extended Release, 5 mg (NDC 0591-0844-10)","Teva Pharmaceuticals USA, Inc.",,To Be Discontinued,['ANDA076467'],['GLIPIZIDE ER'],['GLIPIZIDE'],"['Actavis Pharma, Inc.']","['0591-0844', '0591-0900', '0591-0845']",['HUMAN PRESCRIPTION DRUG'],['ORAL'],['GLIPIZIDE'],"['310489', '314006', '315107']",['90e0de65-ed5f-460a-a96f-77d4d76ceedd'],['a430577c-f233-40a7-bfd8-3d2bc6f98aa2'],"['0591-0900-30', '0591-0844-01', '0591-0844-10', '0591-0845-01', '0591-0845-10']",['X7WDT95N5C'],"['N0000175608', 'M0020795']",['Sulfonylurea [EPC]'],,02/06/2025,,['Sulfonylurea Compounds [CS]'],,,
Reverified,02/20/2018,0409-1752-50,"Bupivacaine Hydrochloride, Epinephrine Bitartrate Injection",844-646-4398,Available,,10/23/2025,['Anesthesia'],Injection,"Marcaine With Epinephrine, Injection, Marcaine with Epinephrine 1:200,000 as the bitartrate 125 mg/50 mL (2.5 mg/mL 1:200,000) (NDC 0409-1752-50)","Hospira, Inc., a Pfizer Company",,Current,['NDA016964'],['MARCAINE WITH EPINEPHRINE'],['BUPIVACAINE HYDROCHLORIDE AND EPINEPHRINE BITARTRATE'],"['Hospira, Inc.']","['0409-1752', '0409-1559', '0409-1560', '0409-1582', '0409-1587', '0409-1610', '0409-1746', '0409-1749', '0409-1755', '0409-2510', '0409-7535', '0409-1250', '0409-5010', '0409-1530', '0409-0525', '0409-7510', '0409-2253']",['HUMAN PRESCRIPTION DRUG'],"['INFILTRATION', 'PERINEURAL']","['BUPIVACAINE HYDROCHLORIDE', 'EPINEPHRINE BITARTRATE']","['1012377', '1012381', '1012384', '1012388', '1012396', '1012400', '1012404', '1012406', '1672917', '1672919', '1673242', '1673243', '1724786', '1724787', '1724794', '1724796', '1724880', '1724884', '1725044', '1725046', '1725078', '1725079', '1725082', '1725083', '1867594', '1867596', '1867612', '1867614']",['b00b78c3-c70d-49b9-a381-6a1496f74153'],['67578b56-7540-487e-1fba-481255620e78'],"['0409-1559-18', '0409-1559-10', '0409-1559-19', '0409-1559-30', '0409-1560-18', '0409-1560-10', '0409-1560-19', '0409-1560-29', '0409-1582-18', '0409-1582-10', '0409-1582-19', '0409-1582-29', '0409-1587-50', '0409-1610-50', '0409-1746-70', '0409-1746-10', '0409-1746-71', '0409-1746-30', '0409-1749-70', '0409-1749-10', '0409-1749-71', '0409-1749-29', '0409-1752-50', '0409-1755-50', '0409-2510-01', '0409-2510-25', '0409-7535-01', '0409-7535-25', '0409-1250-01', '0409-1250-25', '0409-5010-01', '0409-5010-25', '0409-1530-01', '0409-1530-25', '0409-0525-01', '0409-0525-25', '0409-7510-01', '0409-7510-25', '0409-2253-01', '0409-2253-25']","['7TQO7W3VT8', '30Q7KI53AK']",,,,,,,,,
Reverified,03/23/2018,63323-288-21,Ropivacaine Hydrochloride Injection,888-386-1300,Available,,11/05/2025,['Anesthesia'],Injection,"Naropin, Injection, 10 mg/1 mL (NDC 63323-288-21)","Fresenius Kabi USA, LLC",,Current,['NDA020533'],['NAROPIN'],['ROPIVACAINE HYDROCHLORIDE'],"['Fresenius Kabi USA, LLC']","['63323-288', '63323-286', '63323-287', '63323-285']",['HUMAN PRESCRIPTION DRUG'],['EPIDURAL'],['ROPIVACAINE HYDROCHLORIDE'],"['905189', '905191', '1734084', '1734086', '1734090', '1734091', '1734203', '1734204', '1734207', '1734208', '1734347', '1734348', '1734355', '1734356', '1734475', '1734476', '1734479', '1734480', '1734481', '1734482', '1734483', '1734484']","['cdcd6c58-85cf-4d7e-9d97-b7c282a4f6b9', '73218c89-8925-468c-84bf-9960b4b3dc3c', '75465ceb-e894-487d-aa80-671fa0841fce']","['23d2d448-a744-4877-9f2d-7e57c198da89', 'c6613708-c1f7-4f5c-91a3-ebbc1d7905c6', '56dfabf7-f7a8-4601-b17a-cb16fb995b0f']","['63323-286-01', '63323-286-20', '63323-286-05', '63323-286-23', '63323-286-09', '63323-286-31', '63323-286-11', '63323-286-35', '63323-286-03', '63323-286-00', '63323-286-33', '63323-286-63', '63323-286-30', '63323-287-01', '63323-287-20', '63323-287-03', '63323-287-21', '63323-288-01', '63323-288-10', '63323-288-06', '63323-288-20', '63323-288-03', '63323-288-11', '63323-288-07', '63323-288-21', '63323-285-01', '63323-285-10', '63323-285-06', '63323-285-20', '63323-285-03', '63323-285-13', '63323-285-07', '63323-285-23', '63323-285-57', '63323-285-64', '63323-285-51', '63323-285-65', '63323-285-02', '63323-285-61', '63323-285-04', '63323-285-63', '63323-285-55', '63323-285-67', '63323-288-23', '63323-288-29', '63323-286-93', '63323-286-95', '63323-288-25', '63323-288-27']",['V910P86109'],,,,,,,,,
Reverified,07/26/2023,68025-089-30,"Methylphenidate Hydrochloride Tablet, Extended Release",800-541-4802,Available,,11/06/2025,['Psychiatry'],Tablet,"Relexxii, Tablet, Extended Release, 63 mg (NDC 68025-089-30)","Vertical Pharmaceuticals, LLC",,Current,['NDA216117'],['RELEXXII'],['METHYLPHENIDATE HYDROCHLORIDE'],"['Vertical Pharmaceuticals, LLC']","['68025-089', '68025-088', '68025-095', '68025-096', '68025-097', '68025-084', '68025-098']",['HUMAN PRESCRIPTION DRUG'],['ORAL'],['METHYLPHENIDATE HYDROCHLORIDE'],"['1091155', '1091170', '1091185', '1091210', '1995461', '2052826', '2605796', '2605798', '2605943', '2605946', '2668496', '2668499', '2668502', '2668505']",['86f477e9-07fc-466b-913e-1a4434c91df4'],['22d5fa47-b5b9-4fd9-980c-4eb88e95ae5d'],"['68025-088-30', '68025-089-30', '68025-095-10', '68025-095-30', '68025-096-10', '68025-096-30', '68025-097-10', '68025-097-30', '68025-084-30', '68025-098-10', '68025-098-30']",['4B3SC438HI'],,,,,,,,,
Revised,11/01/2017,0641-6254-01,Hydromorphone Hydrochloride Injection,800-631-2174,Available,Additional lots are scheduled for manufacturing to meet demand.  Product will be made available as it is released.,10/24/2025,['Analgesia/Addiction'],Injection,"Hydromorphone Hydrochloride, Injection, 2 mg/1 mL (NDC 0641-6254-01)","Hikma Pharmaceuticals USA, Inc.",,Current,['NDA217812'],['HYDROMORPHONE HYDROCHLORIDE'],['HYDROMORPHONE HYDROCHLORIDE'],['Hikma Pharmaceuticals USA Inc.'],['0641-6254'],['HUMAN PRESCRIPTION DRUG'],"['INTRAMUSCULAR', 'INTRAVENOUS', 'SUBCUTANEOUS']",['HYDROMORPHONE HYDROCHLORIDE'],['897745'],['ba25ec4f-3b81-4960-bf74-6a1e4c6be45c'],['c729424e-e483-4bf8-b86c-ce56636dcffa'],['0641-6254-01'],['L960UP2KRW'],,,,,,,,,
Reverified,03/12/2021,69918-501-05,Desmopressin Acetate Spray,888-337-7464,Unavailable,,09/17/2025,['Hematology'],Spray,"Desmopressin Acetate, Spray, 10 ug/.1 mL (NDC 69918-501-05)",Ferring,Requirements related to complying with good manufacturing practices,Current,,,,,,,,,,,,,,,,,,,,,,
